Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;1,05950;0,10192;0,00000
0,10000;0,00075;0,95915;0,09227;0,00008
0,20000;0,00325;3,26738;0,31432;0,00034
0,30000;0,00475;4,07652;0,39216;0,00050
0,40000;0,00650;6,16522;0,59309;0,00068
0,50000;0,00844;7,26287;0,69869;0,00089
0,60000;0,01006;8,82470;0,84894;0,00106
0,70000;0,01137;10,36769;0,99737;0,00119
0,80000;0,01350;12,04871;1,15909;0,00142
0,90000;0,01525;13,51016;1,29968;0,00160
1,00000;0,01650;15,09706;1,45234;0,00173
1,10000;0,01812;16,32017;1,57000;0,00190
1,20000;0,02012;17,76284;1,70879;0,00211
1,30000;0,02181;19,35600;1,86205;0,00229
1,40000;0,02306;20,98682;2,01893;0,00242
1,50000;0,02512;22,12212;2,12815;0,00264
1,60000;0,02687;23,46442;2,25728;0,00282
1,70000;0,02831;24,75653;2,38158;0,00297
1,80000;0,02975;26,12390;2,51312;0,00312
1,90000;0,03181;27,56654;2,65190;0,00334
2,00000;0,03356;28,72066;2,76293;0,00352
2,10000;0,03469;29,24756;2,81362;0,00364
2,20000;0,03675;30,76545;2,95964;0,00386
2,30000;0,03850;31,04145;2,98619;0,00404
2,40000;0,04006;31,80041;3,05920;0,00420
2,50000;0,04137;32,08267;3,08636;0,00434
2,60000;0,04350;32,42136;3,11894;0,00456
2,70000;0,04525;32,10774;3,08877;0,00475
2,80000;0,04644;32,37119;3,11411;0,00487
2,90000;0,04831;32,87925;3,16299;0,00507
3,00000;0,05012;32,57818;3,13402;0,00526
3,10000;0,05181;31,91957;3,07067;0,00544
3,20000;0,05300;32,79771;3,15514;0,00556
3,30000;0,05512;32,40255;3,11713;0,00578
3,40000;0,05700;32,39629;3,11653;0,00598
3,50000;0,05812;32,62835;3,13885;0,00610
3,60000;0,05987;32,73499;3,14911;0,00628
3,70000;0,06181;32,45899;3,12256;0,00649
3,80000;0,06356;31,95722;3,07429;0,00667
3,90000;0,06469;32,70989;3,14669;0,00679
4,00000;0,06675;32,44018;3,12075;0,00700
4,10000;0,06850;31,73139;3,05256;0,00719
4,20000;0,06987;32,05757;3,08394;0,00733
4,30000;0,07144;32,39629;3,11653;0,00750
4,40000;0,07344;32,33983;3,11109;0,00771
4,50000;0,07525;31,93212;3,07187;0,00790
4,60000;0,07637;32,84162;3,15937;0,00801
4,70000;0,07837;32,40881;3,11773;0,00822
4,80000;0,08019;32,27710;3,10506;0,00841
4,90000;0,08162;32,20183;3,09782;0,00857
5,00000;0,08306;32,97960;3,17264;0,00872
5,10000;0,08512;32,47783;3,12437;0,00893
5,20000;0,08694;32,33983;3,11109;0,00912
5,30000;0,08812;32,73499;3,14911;0,00925
5,40000;0,08994;32,97334;3,17204;0,00944
5,50000;0,09187;32,43391;3,12015;0,00964
5,60000;0,09337;32,25829;3,10325;0,00980
5,70000;0,09469;33,03606;3,17807;0,00994
5,80000;0,09681;32,63464;3,13946;0,01016
5,90000;0,09856;32,38374;3,11532;0,01034
6,00000;0,09987;32,70363;3,14609;0,01048
6,10000;0,10156;32,84789;3,15997;0,01066
6,20000;0,10356;32,79143;3,15454;0,01087
6,30000;0,10519;32,62209;3,13825;0,01104
6,40000;0,10637;32,74754;3,15032;0,01116
6,50000;0,10844;32,64716;3,14066;0,01138
6,60000;0,11019;32,32101;3,10928;0,01156
6,70000;0,11162;32,25829;3,10325;0,01171
6,80000;0,11306;32,69736;3,14549;0,01186
6,90000;0,11519;31,93840;3,07248;0,01209
7,00000;0,11694;32,66600;3,14247;0,01227
7,10000;0,11800;32,65971;3,14187;0,01238
7,20000;0,12006;33,16151;3,19014;0,01260
7,30000;0,12175;32,39000;3,11592;0,01278
7,40000;0,12337;32,74754;3,15032;0,01295
7,50000;0,12469;32,89180;3,16419;0,01308
7,60000;0,12687;33,27441;3,20100;0,01331
7,70000;0,12862;33,06116;3,18049;0,01350
7,80000;0,12969;32,93571;3,16842;0,01361
7,90000;0,13162;33,55667;3,22815;0,01381
8,00000;0,13344;33,19287;3,19316;0,01400
8,10000;0,13512;32,90435;3,16540;0,01418
8,20000;0,13637;34,13372;3,28367;0,01431
8,30000;0,13850;34,30934;3,30056;0,01453
8,40000;0,14031;34,52888;3,32168;0,01472
8,50000;0,14144;34,78606;3,34642;0,01484
8,60000;0,14319;35,60772;3,42547;0,01502
8,70000;0,14512;35,47601;3,41280;0,01523
8,80000;0,14687;35,92763;3,45624;0,01541
8,90000;0,14800;36,84340;3,54434;0,01553
9,00000;0,15012;36,52978;3,51417;0,01575
9,10000;0,15194;36,10326;3,47314;0,01594
9,20000;0,15319;36,44824;3,50632;0,01607
9,30000;0,15475;36,74931;3,53529;0,01624
9,40000;0,15675;37,26992;3,58537;0,01645
