Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,26880;0,02586;0,00000
0,10000;0,00100;0,78315;0,07534;0,00010
0,20000;0,00319;1,33510;0,12844;0,00033
0,30000;0,00512;2,53313;0,24369;0,00054
0,40000;0,00644;2,95965;0,28472;0,00068
0,50000;0,00812;2,96594;0,28532;0,00085
0,60000;0,01006;2,28852;0,22016;0,00106
0,70000;0,01187;2,35750;0,22679;0,00125
0,80000;0,01300;2,51431;0,24188;0,00136
0,90000;0,01500;2,13797;0,20567;0,00157
1,00000;0,01687;2,25087;0,21653;0,00177
1,10000;0,01819;1,85571;0,17852;0,00191
1,20000;0,01969;2,26342;0,21774;0,00207
1,30000;0,02175;1,61736;0,15559;0,00228
1,40000;0,02362;1,51701;0,14594;0,00248
1,50000;0,02469;1,51074;0,14533;0,00259
1,60000;0,02669;1,61109;0,15499;0,00280
1,70000;0,02850;1,86826;0,17973;0,00299
1,80000;0,02994;1,66753;0,16042;0,00314
1,90000;0,03131;2,13797;0,20567;0,00329
2,00000;0,03344;1,79298;0,17249;0,00351
2,10000;0,03525;1,35393;0,13025;0,00370
2,20000;0,03644;2,11289;0,20326;0,00382
2,30000;0,03812;2,17562;0,20929;0,00400
2,40000;0,04019;2,07524;0,19964;0,00422
2,50000;0,04169;1,89336;0,18214;0,00437
2,60000;0,04300;2,15052;0,20688;0,00451
2,70000;0,04512;1,88707;0,18154;0,00474
2,80000;0,04681;2,37005;0,22800;0,00491
2,90000;0,04819;3,69980;0,35592;0,00506
3,00000;0,04981;4,30194;0,41385;0,00523
3,10000;0,05187;4,86646;0,46815;0,00544
3,20000;0,05350;5,90766;0,56832;0,00561
3,30000;0,05462;6,86108;0,66004;0,00573
3,40000;0,05669;7,31268;0,70348;0,00595
3,50000;0,05844;7,94618;0,76442;0,00613
3,60000;0,05994;8,78668;0,84528;0,00629
3,70000;0,06137;10,04117;0,96596;0,00644
3,80000;0,06350;10,70604;1,02992;0,00666
3,90000;0,06525;11,82251;1,13733;0,00685
4,00000;0,06637;12,48738;1,20129;0,00696
4,10000;0,06831;13,58506;1,30688;0,00717
4,20000;0,07012;14,16211;1,36240;0,00736
4,30000;0,07169;15,22843;1,46498;0,00752
4,40000;0,07300;15,63611;1,50420;0,00766
4,50000;0,07512;16,68988;1,60557;0,00788
4,60000;0,07694;17,44255;1,67798;0,00807
4,70000;0,07806;18,31444;1,76185;0,00819
4,80000;0,07987;19,34937;1,86141;0,00838
4,90000;0,08169;19,81352;1,90606;0,00857
5,00000;0,08344;20,87983;2,00864;0,00876
5,10000;0,08462;21,58233;2,07622;0,00888
5,20000;0,08675;22,56082;2,17035;0,00910
5,30000;0,08856;23,21315;2,23311;0,00929
5,40000;0,08981;23,97839;2,30672;0,00942
5,50000;0,09150;24,59306;2,36585;0,00960
5,60000;0,09337;25,53393;2,45637;0,00980
5,70000;0,09525;26,53750;2,55291;0,00999
5,80000;0,09631;26,61904;2,56075;0,01011
5,90000;0,09837;27,92997;2,68687;0,01032
6,00000;0,10019;28,60739;2,75203;0,01051
6,10000;0,10150;29,33498;2,82203;0,01065
6,20000;0,10306;30,31348;2,91616;0,01081
6,30000;0,10506;30,98461;2,98072;0,01102
6,40000;0,10694;32,03212;3,08149;0,01122
6,50000;0,10806;32,36455;3,11347;0,01134
6,60000;0,10994;33,00433;3,17502;0,01154
6,70000;0,11181;33,76328;3,24803;0,01173
6,80000;0,11331;34,54734;3,32346;0,01189
6,90000;0,11475;35,08676;3,37535;0,01204
7,00000;0,11681;35,83943;3,44776;0,01226
7,10000;0,11856;36,22833;3,48517;0,01244
7,20000;0,11975;37,44517;3,60223;0,01257
7,30000;0,12156;37,77132;3,63361;0,01276
7,40000;0,12344;38,46756;3,70058;0,01295
7,50000;0,12506;39,23280;3,77420;0,01312
7,60000;0,12631;39,74086;3,82307;0,01325
7,70000;0,12844;40,31165;3,87798;0,01348
7,80000;0,13019;41,08315;3,95220;0,01366
7,90000;0,13150;41,07060;3,95100;0,01380
8,00000;0,13312;42,29371;4,06866;0,01397
8,10000;0,13512;42,20591;4,06021;0,01418
8,20000;0,13681;43,40392;4,17546;0,01436
8,30000;0,13800;44,15661;4,24787;0,01448
8,40000;0,14012;44,31342;4,26296;0,01470
8,50000;0,14181;44,45140;4,27623;0,01488
8,60000;0,14331;44,77757;4,30761;0,01504
8,70000;0,14469;45,71215;4,39751;0,01518
8,80000;0,14681;46,18885;4,44337;0,01541
8,90000;0,14856;46,74082;4,49647;0,01559
9,00000;0,14969;47,15479;4,53630;0,01571
9,10000;0,15169;47,40569;4,56043;0,01592
9,20000;0,15344;47,60642;4,57974;0,01610
9,30000;0,15506;48,25247;4,64189;0,01627
9,40000;0,15631;48,59746;4,67508;0,01640
9,50000;0,15850;48,91106;4,70525;0,01663
9,60000;0,16025;49,41286;4,75352;0,01682
9,70000;0,16144;49,77039;4,78792;0,01694
9,80000;0,16325;50,27845;4,83679;0,01713
9,90000;0,16512;50,61715;4,86937;0,01733
10,00000;0,16681;50,88686;4,89532;0,01750
10,10000;0,16794;51,11266;4,91704;0,01762
10,20000;0,17006;51,31967;4,93696;0,01784
10,30000;0,17181;51,72109;4,97557;0,01803
10,40000;0,17312;51,77127;4,98040;0,01817
10,50000;0,17481;52,17269;5,01902;0,01834
10,60000;0,17681;52,25425;5,02686;0,01855
10,70000;0,17856;52,74350;5,07393;0,01874
10,80000;0,17962;52,86266;5,08539;0,01885
10,90000;0,18169;53,06965;5,10531;0,01906
11,00000;0,18350;53,65298;5,16142;0,01925
11,10000;0,18487;53,47736;5,14453;0,01940
11,20000;0,18637;54,23632;5,21754;0,01956
11,30000;0,18844;54,11713;5,20607;0,01977
11,40000;0,19025;54,39313;5,23262;0,01996
11,50000;0,19137;54,63774;5,25616;0,02008
11,60000;0,19325;54,28023;5,22176;0,02028
11,70000;0,19519;54,80084;5,27185;0,02048
11,80000;0,19662;55,02664;5,29357;0,02063
11,90000;0,19800;55,13954;5,30443;0,02078
12,00000;0,20012;54,83846;5,27547;0,02100
12,10000;0,20194;55,58487;5,34727;0,02119
12,20000;0,20312;55,40298;5,32977;0,02131
12,30000;0,20487;55,59742;5,34848;0,02150
12,40000;0,20681;55,38415;5,32796;0,02170
12,50000;0,20837;55,58487;5,34727;0,02187
12,60000;0,20969;55,55979;5,34486;0,02200
12,70000;0,21181;55,87968;5,37563;0,02223
12,80000;0,21350;55,94241;5,38166;0,02240
12,90000;0,21487;55,92359;5,37986;0,02255
13,00000;0,21644;56,35011;5,42089;0,02271
13,10000;0,21844;56,29365;5,41545;0,02292
13,20000;0,22019;56,18075;5,40459;0,02310
13,30000;0,22131;56,62609;5,44744;0,02322
13,40000;0,22344;56,93343;5,47700;0,02345
13,50000;0,22512;56,63864;5,44864;0,02362
13,60000;0,22662;56,38145;5,42390;0,02378
13,70000;0,22800;56,57591;5,44261;0,02392
13,80000;0,23012;57,06516;5,48967;0,02415
13,90000;0,23187;57,02125;5,48545;0,02433
14,00000;0,23300;57,05261;5,48847;0,02445
14,10000;0,23500;57,18432;5,50114;0,02466
14,20000;0,23675;56,99615;5,48304;0,02484
14,30000;0,23844;57,02125;5,48545;0,02502
14,40000;0,23969;56,89580;5,47338;0,02515
14,50000;0,24181;57,07142;5,49028;0,02537
14,60000;0,24356;57,10905;5,49390;0,02556
14,70000;0,24475;57,31606;5,51381;0,02568
14,80000;0,24656;57,27841;5,51019;0,02587
14,90000;0,24837;57,43522;5,52527;0,02606
15,00000;0,25012;57,57948;5,53915;0,02625
15,10000;0,25131;57,47285;5,52889;0,02637
15,20000;0,25344;57,22824;5,50536;0,02659
15,30000;0,25519;57,29722;5,51200;0,02678
15,40000;0,25644;57,12160;5,49510;0,02691
15,50000;0,25812;57,62340;5,54338;0,02709
15,60000;0,26006;57,44149;5,52588;0,02729
15,70000;0,26187;57,35368;5,51743;0,02748
15,80000;0,26300;57,74258;5,55484;0,02760
15,90000;0,26500;57,42896;5,52467;0,02781
16,00000;0,26687;57,47913;5,52950;0,02800
16,10000;0,26819;57,59203;5,54036;0,02814
16,20000;0,26969;57,84293;5,56450;0,02830
16,30000;0,27175;57,31606;5,51381;0,02852
16,40000;0,27356;57,61713;5,54277;0,02871
16,50000;0,27475;57,37250;5,51924;0,02883
16,60000;0,27662;57,51676;5,53312;0,02903
16,70000;0,27856;57,57948;5,53915;0,02923
16,80000;0,27994;57,57948;5,53915;0,02937
16,90000;0,28131;57,42267;5,52407;0,02952
17,00000;0,28344;57,51050;5,53252;0,02974
17,10000;0,28525;57,49168;5,53071;0,02993
17,20000;0,28644;57,76766;5,55725;0,03006
17,30000;0,28819;57,80528;5,56087;0,03024
17,40000;0,29019;57,57322;5,53855;0,03045
17,50000;0,29175;57,39131;5,52105;0,03061
17,60000;0,29300;57,49795;5,53131;0,03075
17,70000;0,29512;57,32859;5,51502;0,03097
17,80000;0,29681;57,42896;5,52467;0,03115
17,90000;0,29819;57,51676;5,53312;0,03129
18,00000;0,29981;57,38505;5,52045;0,03146
18,10000;0,30187;57,25960;5,50838;0,03168
18,20000;0,30350;57,64849;5,54579;0,03185
18,30000;0,30462;57,25333;5,50778;0,03196
18,40000;0,30669;57,49795;5,53131;0,03218
18,50000;0,30844;57,56067;5,53734;0,03236
18,60000;0,30994;57,17806;5,50054;0,03252
18,70000;0,31137;57,30977;5,51321;0,03267
18,80000;0,31344;57,16551;5,49933;0,03289
18,90000;0,31525;57,25333;5,50778;0,03308
19,00000;0,31631;57,31606;5,51381;0,03319
19,10000;0,31831;56,87699;5,47157;0,03340
19,20000;0,32012;57,35368;5,51743;0,03359
19,30000;0,32169;57,32232;5,51441;0,03376
19,40000;0,32300;57,04635;5,48786;0,03389
19,50000;0,32519;57,22197;5,50476;0,03412
19,60000;0,32694;56,85817;5,46976;0,03431
19,70000;0,32806;56,86444;5,47036;0,03442
19,80000;0,32994;57,02125;5,48545;0,03462
19,90000;0,33175;57,38505;5,52045;0,03481
20,00000;0,33350;57,22197;5,50476;0,03499
20,10000;0,33469;56,85189;5,46916;0,03512
20,20000;0,33675;57,23450;5,50596;0,03534
20,30000;0,33862;57,03380;5,48666;0,03553
20,40000;0,33981;56,97734;5,48123;0,03566
20,50000;0,34150;57,16551;5,49933;0,03583
20,60000;0,34337;56,59473;5,44442;0,03603
20,70000;0,34525;56,92090;5,47580;0,03623
20,80000;0,34631;56,83934;5,46795;0,03634
20,90000;0,34837;57,03380;5,48666;0,03656
21,00000;0,35019;57,00244;5,48364;0,03675
21,10000;0,35150;56,90206;5,47398;0,03688
21,20000;0,35306;56,87699;5,47157;0,03705
21,30000;0,35506;56,87070;5,47097;0,03726
21,40000;0,35694;56,66371;5,45105;0,03745
21,50000;0,35800;56,73899;5,45830;0,03757
21,60000;0,35994;56,67626;5,45226;0,03777
21,70000;0,36181;56,86444;5,47036;0,03797
21,80000;0,36331;56,75780;5,46011;0,03812
21,90000;0,36475;56,33128;5,41907;0,03827
22,00000;0,36675;56,29992;5,41606;0,03848
22,10000;0,36850;56,29365;5,41545;0,03867
22,20000;0,36975;56,40029;5,42571;0,03880
22,30000;0,37150;56,39400;5,42511;0,03898
22,40000;0,37350;56,22467;5,40882;0,03919
22,50000;0,37506;55,96122;5,38347;0,03936
22,60000;0,37637;56,05530;5,39253;0,03949
22,70000;0,37844;56,11803;5,39856;0,03971
22,80000;0,38019;56,09293;5,39615;0,03989
