Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,43693;0,04203;0,00000
0,10000;0,00050;0,35539;0,03419;0,00005
0,20000;0,00237;0,81956;0,07884;0,00025
0,30000;0,00425;1,51580;0,14582;0,00045
0,40000;0,00656;2,50682;0,24116;0,00069
0,50000;0,00837;2,19948;0,21159;0,00088
0,60000;0,00962;2,30609;0,22185;0,00101
0,70000;0,01181;2,10539;0,20254;0,00124
0,80000;0,01362;2,25592;0,21702;0,00143
0,90000;0,01469;3,00233;0,28882;0,00154
1,00000;0,01650;2,82044;0,27133;0,00173
1,10000;0,01837;2,56328;0,24659;0,00193
1,20000;0,02019;2,46919;0,23754;0,00212
1,30000;0,02131;2,99606;0,28822;0,00224
1,40000;0,02344;2,83925;0,27314;0,00246
1,50000;0,02525;2,67618;0,25745;0,00265
1,60000;0,02644;2,41273;0,23210;0,00277
1,70000;0,02812;2,91453;0,28038;0,00295
1,80000;0,03006;2,33119;0,22426;0,00315
1,90000;0,03194;2,63853;0,25383;0,00335
2,00000;0,03300;2,88317;0,27736;0,00346
2,10000;0,03500;2,19319;0,21099;0,00367
2,20000;0,03687;2,58835;0,24900;0,00387
2,30000;0,03819;2,51310;0,24176;0,00401
2,40000;0,03975;2,53818;0,24417;0,00417
2,50000;0,04175;2,78282;0,26771;0,00438
2,60000;0,04362;2,48800;0,23935;0,00458
2,70000;0,04475;2,92079;0,28098;0,00470
2,80000;0,04662;2,96470;0,28520;0,00489
2,90000;0,04850;2,99606;0,28822;0,00509
3,00000;0,05000;2,53818;0,24417;0,00525
3,10000;0,05137;2,48800;0,23935;0,00539
3,20000;0,05344;2,48800;0,23935;0,00561
3,30000;0,05525;2,47546;0,23814;0,00580
3,40000;0,05644;2,45038;0,23573;0,00592
3,50000;0,05819;3,10896;0,29908;0,00611
3,60000;0,06019;2,41273;0,23210;0,00632
3,70000;0,06175;2,65737;0,25564;0,00648
3,80000;0,06300;3,12778;0,30089;0,00661
3,90000;0,06512;2,82670;0,27193;0,00683
4,00000;0,06687;2,33746;0,22486;0,00702
4,10000;0,06819;2,76398;0,26590;0,00716
4,20000;0,06975;2,73890;0,26348;0,00732
4,30000;0,07187;2,55699;0,24598;0,00754
4,40000;0,07350;2,74517;0,26409;0,00771
4,50000;0,07469;3,18424;0,30632;0,00784
4,60000;0,07675;2,80789;0,27012;0,00805
4,70000;0,07844;2,65108;0,25503;0,00823
4,80000;0,07994;2,58835;0,24900;0,00839
4,90000;0,08131;3,17798;0,30572;0,00853
5,00000;0,08350;2,55073;0,24538;0,00876
5,10000;0,08519;2,68244;0,25805;0,00894
5,20000;0,08637;2,86435;0,27555;0,00906
5,30000;0,08837;2,80163;0,26952;0,00927
5,40000;0,09006;2,80789;0,27012;0,00945
5,50000;0,09175;2,89571;0,27857;0,00963
5,60000;0,09300;2,40018;0,23090;0,00976
5,70000;0,09519;2,68244;0,25805;0,00999
5,80000;0,09687;2,73890;0,26348;0,01017
5,90000;0,09806;3,35986;0,32322;0,01029
6,00000;0,09994;4,30073;0,41373;0,01049
6,10000;0,10175;3,98082;0,38296;0,01068
6,20000;0,10350;4,53279;0,43606;0,01086
6,30000;0,10462;5,91900;0,56941;0,01098
6,40000;0,10675;6,13225;0,58992;0,01120
6,50000;0,10856;6,79712;0,65388;0,01139
6,60000;0,10981;7,53726;0,72509;0,01152
6,70000;0,11150;8,39031;0,80715;0,01170
6,80000;0,11344;8,69764;0,83671;0,01190
6,90000;0,11525;9,95840;0,95800;0,01209
7,00000;0,11631;10,54800;1,01472;0,01220
7,10000;0,11837;10,72362;1,03161;0,01242
7,20000;0,12019;11,89657;1,14445;0,01261
7,30000;0,12156;12,39835;1,19272;0,01276
7,40000;0,12306;13,33293;1,28263;0,01291
7,50000;0,12512;14,12954;1,35926;0,01313
7,60000;0,12694;13,99154;1,34599;0,01332
7,70000;0,12806;15,20838;1,46305;0,01344
7,80000;0,12994;16,49421;1,58674;0,01363
7,90000;0,13181;16,87682;1,62355;0,01383
8,00000;0,13331;17,56679;1,68993;0,01399
8,10000;0,13469;18,29439;1,75992;0,01413
8,20000;0,13687;19,48613;1,87457;0,01436
8,30000;0,13862;19,74958;1,89991;0,01455
8,40000;0,13975;20,86605;2,00732;0,01466
8,50000;0,14144;21,16715;2,03628;0,01484
8,60000;0,14344;21,79437;2,09662;0,01505
8,70000;0,14506;22,85440;2,19860;0,01522
8,80000;0,14637;23,61336;2,27161;0,01536
8,90000;0,14844;24,54168;2,36091;0,01558
9,00000;0,15019;24,86783;2,39229;0,01576
9,10000;0,15156;25,84006;2,48582;0,01590
9,20000;0,15306;26,59273;2,55822;0,01606
9,30000;0,15512;27,13844;2,61072;0,01628
9,40000;0,15687;28,17337;2,71028;0,01646
9,50000;0,15800;28,83198;2,77364;0,01658
9,60000;0,16006;29,28358;2,81708;0,01680
9,70000;0,16181;30,03001;2,88889;0,01698
9,80000;0,16331;30,65097;2,94863;0,01714
