Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;-0,15346;-0,01476;0,00000
0,10000;0,00050;0,70585;0,06790;0,00005
0,20000;0,00212;1,17000;0,11255;0,00022
0,30000;0,00450;2,38684;0,22961;0,00047
0,40000;0,00669;3,82322;0,36779;0,00070
0,50000;0,00806;4,75154;0,45710;0,00085
0,60000;0,00981;5,20314;0,50054;0,00103
0,70000;0,01175;6,18163;0,59467;0,00123
0,80000;0,01337;7,25421;0,69786;0,00140
0,90000;0,01462;8,15743;0,78475;0,00153
1,00000;0,01681;8,87248;0,85353;0,00176
1,10000;0,01850;9,81961;0,94465;0,00194
1,20000;0,01981;10,57228;1,01705;0,00208
1,30000;0,02144;11,80167;1,13532;0,00225
1,40000;0,02344;12,53553;1,20592;0,00246
1,50000;0,02512;13,69594;1,31755;0,00264
1,60000;0,02631;14,18518;1,36462;0,00276
1,70000;0,02844;15,20130;1,46237;0,00298
1,80000;0,03019;16,09197;1,54805;0,00317
1,90000;0,03162;17,18337;1,65304;0,00332
2,00000;0,03312;18,46920;1,77674;0,00348
2,10000;0,03512;18,85183;1,81355;0,00369
2,20000;0,03687;19,88050;1,91251;0,00387
2,30000;0,03800;21,07851;2,02775;0,00399
2,40000;0,04006;21,76221;2,09353;0,00420
2,50000;0,04175;22,15109;2,13094;0,00438
2,60000;0,04337;22,93515;2,20636;0,00455
2,70000;0,04469;24,07671;2,31618;0,00469
2,80000;0,04681;24,23979;2,33187;0,00491
2,90000;0,04856;25,19318;2,42359;0,00510
3,00000;0,04969;25,85179;2,48694;0,00521
3,10000;0,05162;25,84553;2,48634;0,00542
3,20000;0,05344;26,13405;2,51410;0,00561
3,30000;0,05512;26,19678;2,52013;0,00578
3,40000;0,05631;27,11881;2,60883;0,00591
3,50000;0,05850;27,85269;2,67943;0,00614
3,60000;0,06025;28,32310;2,72469;0,00632
3,70000;0,06137;29,25142;2,81399;0,00644
3,80000;0,06319;30,42435;2,92683;0,00663
3,90000;0,06506;31,03905;2,98596;0,00683
4,00000;0,06687;32,03009;3,08130;0,00702
4,10000;0,06800;32,63224;3,13922;0,00714
4,20000;0,07012;33,52291;3,22491;0,00736
4,30000;0,07194;34,70839;3,33895;0,00755
4,40000;0,07312;35,31680;3,39748;0,00767
4,50000;0,07475;36,46465;3,50790;0,00784
4,60000;0,07675;36,85982;3,54592;0,00805
4,70000;0,07862;37,16089;3,57488;0,00825
4,80000;0,07969;38,42164;3,69617;0,00836
4,90000;0,08169;38,68507;3,72151;0,00857
5,00000;0,08356;38,04530;3,65996;0,00877
5,10000;0,08487;37,67521;3,62436;0,00891
5,20000;0,08637;38,64116;3,71728;0,00906
5,30000;0,08844;37,88220;3,64427;0,00928
5,40000;0,09025;38,13938;3,66901;0,00947
5,50000;0,09144;38,54081;3,70763;0,00959
5,60000;0,09325;38,49063;3,70280;0,00978
5,70000;0,09519;38,89205;3,74142;0,00999
5,80000;0,09669;39,81411;3,83012;0,01015
5,90000;0,09800;40,69849;3,91520;0,01028
6,00000;0,10006;40,96194;3,94054;0,01050
6,10000;0,10187;41,40728;3,98338;0,01069
6,20000;0,10312;41,99687;4,04010;0,01082
6,30000;0,10481;42,48612;4,08717;0,01100
6,40000;0,10681;41,21284;3,96468;0,01121
6,50000;0,10844;40,52916;3,89891;0,01138
6,60000;0,10969;40,47898;3,89408;0,01151
6,70000;0,11175;40,15907;3,86331;0,01173
6,80000;0,11350;40,01481;3,84943;0,01191
6,90000;0,11487;39,29350;3,78004;0,01205
7,00000;0,11637;39,60710;3,81021;0,01221
7,10000;0,11850;39,13669;3,76495;0,01243
7,20000;0,12025;38,86698;3,73901;0,01262
7,30000;0,12131;38,92342;3,74444;0,01273
7,40000;0,12337;39,65101;3,81443;0,01295
7,50000;0,12512;38,49689;3,70340;0,01313
7,60000;0,12669;37,83831;3,64005;0,01329
7,70000;0,12806;38,29619;3,68410;0,01344
7,80000;0,13019;38,40281;3,69435;0,01366
7,90000;0,13194;38,17701;3,67263;0,01384
8,00000;0,13306;38,80425;3,73297;0,01396
8,10000;0,13500;38,39028;3,69315;0,01417
8,20000;0,13675;38,12683;3,66780;0,01435
8,30000;0,13844;38,36518;3,69073;0,01453
8,40000;0,13969;38,79170;3,73177;0,01466
8,50000;0,14181;38,84188;3,73659;0,01488
8,60000;0,14356;38,65999;3,71909;0,01506
8,70000;0,14475;39,53185;3,80297;0,01519
8,80000;0,14650;40,59814;3,90555;0,01537
8,90000;0,14837;40,61696;3,90736;0,01557
9,00000;0,15025;41,55783;3,99787;0,01577
9,10000;0,15131;41,91534;4,03226;0,01588
9,20000;0,15337;43,43325;4,17828;0,01609
9,30000;0,15525;43,75943;4,20966;0,01629
9,40000;0,15650;44,03540;4,23621;0,01642
9,50000;0,15812;45,28989;4,35689;0,01659
9,60000;0,16006;45,60349;4,38706;0,01680
9,70000;0,16187;46,61963;4,48481;0,01699
9,80000;0,16300;47,84900;4,60308;0,01710
9,90000;0,16500;48,38216;4,65437;0,01731
10,00000;0,16687;48,77106;4,69178;0,01751
10,10000;0,16825;49,80599;4,79134;0,01765
10,20000;0,16975;50,57121;4,86496;0,01781
10,30000;0,17175;50,69040;4,87642;0,01802
10,40000;0,17356;51,51834;4,95607;0,01821
10,50000;0,17475;52,29611;5,03089;0,01834
10,60000;0,17656;52,68501;5,06830;0,01853
10,70000;0,17850;53,93948;5,18898;0,01873
10,80000;0,18006;54,66708;5,25898;0,01889
10,90000;0,18137;55,31313;5,32113;0,01903
11,00000;0,18350;55,60166;5,34888;0,01925
11,10000;0,18519;55,97800;5,38509;0,01943
