Saat;Uzama;Yük;Çekme gerilmesi;Çekme gerinimi
(sec);(mm);(N);(MPa);(mm/mm)
0,00000;0,00000;0,17029;0,01638;0,00000
0,10000;0,00100;1,61293;0,15516;0,00010
0,20000;0,00325;6,53048;0,62823;0,00034
0,30000;0,00519;10,08064;0,96976;0,00054
0,40000;0,00637;12,39516;1,19242;0,00067
0,50000;0,00819;15,41844;1,48326;0,00086
0,60000;0,01006;17,84584;1,71677;0,00106
0,70000;0,01181;20,91303;2,01184;0,00124
0,80000;0,01294;23,14600;2,22665;0,00136
0,90000;0,01506;26,25082;2,52533;0,00158
1,00000;0,01687;28,06354;2,69972;0,00177
1,10000;0,01812;30,44703;2,92901;0,00190
1,20000;0,01981;32,71764;3,14744;0,00208
1,30000;0,02175;34,92550;3,35984;0,00228
1,40000;0,02356;37,17730;3,57646;0,00247
1,50000;0,02469;39,29737;3,78041;0,00259
1,60000;0,02669;41,26688;3,96988;0,00280
1,70000;0,02850;43,92010;4,22512;0,00299
1,80000;0,02987;46,07779;4,43269;0,00313
1,90000;0,03137;48,26686;4,64328;0,00329
2,00000;0,03344;50,81345;4,88826;0,00351
2,10000;0,03525;52,65125;5,06506;0,00370
2,20000;0,03637;55,06610;5,29736;0,00382
2,30000;0,03825;54,83404;5,27504;0,00401
2,40000;0,04019;54,39497;5,23280;0,00422
2,50000;0,04162;54,34479;5,22797;0,00437
2,60000;0,04300;54,57059;5,24970;0,00451
2,70000;0,04512;54,62705;5,25513;0,00474
2,80000;0,04687;54,61450;5,25392;0,00492
2,90000;0,04812;54,50787;5,24366;0,00505
3,00000;0,04987;55,01593;5,29254;0,00523
3,10000;0,05181;54,45143;5,23823;0,00544
3,20000;0,05344;54,54549;5,24728;0,00561
3,30000;0,05469;55,17902;5,30823;0,00574
3,40000;0,05675;54,65213;5,25754;0,00595
3,50000;0,05850;54,75876;5,26780;0,00614
3,60000;0,05987;55,00966;5,29193;0,00628
3,70000;0,06144;55,24801;5,31486;0,00645
3,80000;0,06350;54,81523;5,27323;0,00666
3,90000;0,06519;54,80894;5,27262;0,00684
4,00000;0,06631;55,33581;5,32331;0,00696
4,10000;0,06837;54,88421;5,27987;0,00717
4,20000;0,07012;55,39854;5,32934;0,00736
4,30000;0,07162;54,49532;5,24245;0,00752
4,40000;0,07306;55,42364;5,33176;0,00767
4,50000;0,07512;55,21665;5,31185;0,00788
4,60000;0,07694;54,64586;5,25694;0,00807
4,70000;0,07800;55,36091;5,32573;0,00818
4,80000;0,08000;55,22291;5,31245;0,00839
4,90000;0,08175;55,24801;5,31486;0,00858
5,00000;0,08337;54,67723;5,25995;0,00875
5,10000;0,08469;55,34836;5,32452;0,00889
5,20000;0,08681;55,14766;5,30521;0,00911
5,30000;0,08862;54,85911;5,27745;0,00930
5,40000;0,08969;54,87166;5,27866;0,00941
5,50000;0,09156;55,09746;5,30038;0,00961
5,60000;0,09337;54,76503;5,26840;0,00980
5,70000;0,09519;54,99711;5,29073;0,00999
5,80000;0,09631;55,02221;5,29314;0,01011
5,90000;0,09844;55,26682;5,31667;0,01033
6,00000;0,10031;54,90929;5,28228;0,01053
6,10000;0,10144;55,48636;5,33779;0,01064
6,20000;0,10306;55,49262;5,33840;0,01081
6,30000;0,10506;55,22291;5,31245;0,01102
6,40000;0,10687;55,40482;5,32995;0,01121
6,50000;0,10800;55,88152;5,37581;0,01133
6,60000;0,11000;55,35465;5,32512;0,01154
6,70000;0,11187;55,56163;5,34503;0,01174
6,80000;0,11319;55,34210;5,32392;0,01188
6,90000;0,11469;55,82506;5,37038;0,01203
7,00000;0,11675;55,26056;5,31607;0,01225
7,10000;0,11856;54,85285;5,27685;0,01244
7,20000;0,11969;55,70590;5,35891;0,01256
7,30000;0,12162;55,98816;5,38607;0,01276
7,40000;0,12350;54,96575;5,28771;0,01296
7,50000;0,12500;55,39227;5,32874;0,01312
7,60000;0,12637;55,49262;5,33840;0,01326
7,70000;0,12844;55,74981;5,36314;0,01348
7,80000;0,13019;54,96575;5,28771;0,01366
7,90000;0,13144;55,67453;5,35590;0,01379
8,00000;0,13319;55,96932;5,38425;0,01398
